13;8
15;15
17;14
15;9
25;13
15;15
19;14
14;22
16;16
16;22
14;12
16;17
9;13
14;19
8;7
14;21
16;21
7;10
19;14
21;19
19;22
18;18
10;17
12;21
14;18
25;13
22;31
12;19
15;16
20;19
12;18
26;25
25;25
27;15
18;24
10;7
19;20
25;26
18;14
19;22
25;29
27;24
16;20
23;16
27;19
29;21
23;19
24;26
27;23
24;18
16;25
26;19
20;25
16;20
32;25
18;31
29;31
27;22
29;26
30;27
20;34
29;23
31;29
27;32
20;29
24;21
29;31
31;26
22;12
31;20
35;20
33;23
38;31
21;38
33;20
18;37
33;22
30;23
33;33
24;23
31;25
22;39
36;32
35;36
35;28
36;42
28;33
35;29
25;24
26;37
16;29
25;32
26;44
14;22
44;38
32;26
30;35
35;34
37;20
39;39
31;37
46;39
32;28
28;26
36;37
34;37
22;41
30;26
42;38
39;45
32;35
28;37
42;33
34;32
43;41
35;34
42;45
30;43
44;33
44;39
34;35
43;49
44;39
37;32
34;34
44;42
37;30
34;18
32;39
44;45
45;36
46;30
35;40
45;44
45;35
30;47
46;34
19;29
26;30
37;49
41;40
35;38
36;46
35;27
46;36
21;38
41;47
30;20
24;37
49;51
35;41
33;42
26;48
49;50
42;41
54;35
40;57
52;49
34;54
37;37
55;40
43;51
50;47
50;56
54;45
54;38
49;52
39;56
31;44
42;43
50;49
36;45
29;38
42;26
53;55
58;59
28;31
51;44
38;55
59;62
56;42
45;53
32;31
45;31
62;53
44;45
57;58
45;47
46;62
53;59
58;47
44;51
62;50
35;25
46;43
34;26
52;51
53;42
59;61
61;55
38;48
67;66
57;63
31;39
68;48
51;63
54;57
30;50
52;68
68;61
59;66
46;58
60;61
50;45
52;52
54;60
72;50
54;71
70;52
58;72
66;42
32;40
52;52
55;64
41;55
60;78
48;52
55;62
56;58
52;54
63;67
57;56
56;67
51;62
75;72
43;50
62;64
58;65
64;67
77;72
46;65
60;66
69;61
74;59
67;60
48;68
71;38
43;37
66;52
72;48
58;66
69;62
67;79
67;39
81;70
80;76
57;60
70;63
73;71
66;75
68;41
77;58
54;68
72;48
58;60
68;64
59;83
56;76
75;64
60;85
75;43
70;76
46;58
68;85
76;66
87;60
77;77
64;80
78;90
55;87
50;62
66;87
46;66
60;61
76;85
62;70
40;74
60;62
81;66
67;74
49;54
79;80
64;60
74;64
69;74
77;62
77;89
76;81
70;82
86;82
71;44
74;80
76;96
70;93
65;76
66;73
55;66
88;86
93;96
80;79
73;70
68;51
55;86
88;102
69;76
75;70
71;78
98;53
66;93
79;70
68;71
102;79
84;71
59;82
86;86
70;92
84;73
53;52
100;55
82;72
86;73
71;48
75;83
88;87
83;77
83;87
102;83
75;53
77;71
77;78
85;80
92;103
77;51
95;80
72;62
89;83
68;56
90;94
76;55
82;64
66;89
93;95
92;68
78;99
93;99
83;89
